iter	Passed	Remaining
0	1	184
1	3	169
2	5	164
3	6	147
4	7	146
5	9	142
6	10	134
7	11	127
8	12	121
9	12	116
10	14	113
11	15	110
12	16	109
13	17	106
14	18	104
15	19	101
16	20	100
17	21	97
18	22	96
19	23	94
20	24	92
21	25	90
22	26	88
23	27	86
24	28	84
25	29	82
26	30	81
27	31	79
28	32	78
29	33	77
30	34	76
31	35	75
32	36	74
33	37	72
34	38	71
35	39	70
36	40	68
37	41	68
38	42	66
39	43	65
40	44	64
41	45	62
42	46	61
43	47	60
44	48	58
45	49	57
46	50	56
47	50	55
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	90	11
89	91	10
90	92	9
91	93	8
92	95	7
93	96	6
94	99	5
95	100	4
96	102	3
97	103	2
98	104	1
99	105	0
