iter	Passed	Remaining
0	2	205
1	4	236
2	6	212
3	7	189
4	9	179
5	11	177
6	15	199
7	19	227
8	22	230
9	29	265
10	31	256
11	39	287
12	40	274
13	42	261
14	45	257
15	47	247
16	51	250
17	55	250
18	62	268
19	70	281
20	72	272
21	75	266
22	76	257
23	78	248
24	90	271
25	92	263
26	103	281
27	110	283
28	115	282
29	119	278
30	121	270
31	125	265
32	133	270
33	135	263
34	137	256
35	140	249
36	153	261
37	163	266
38	168	263
39	172	258
40	176	254
41	178	245
42	181	240
43	182	232
44	185	226
45	189	222
46	192	217
47	197	213
48	199	207
49	203	203
50	206	198
51	216	199
52	225	199
53	227	193
54	228	186
55	231	181
56	242	182
57	243	176
58	246	171
59	249	166
60	257	164
61	258	158
62	305	179
63	306	172
64	308	166
65	312	161
66	325	160
67	327	154
68	328	147
69	337	144
70	342	139
71	350	136
72	353	130
73	357	125
74	366	122
75	373	117
76	384	114
77	403	113
78	418	111
79	420	105
80	433	101
81	435	95
82	436	89
83	446	85
84	447	78
85	448	73
86	450	67
87	451	61
88	452	55
89	459	51
90	461	45
91	462	40
92	463	34
93	465	29
94	466	24
95	467	19
96	474	14
97	480	9
98	482	4
99	483	0
